,state,month_number,new_cases
466,FSM,16,0
467,FSM,17,0
468,FSM,18,0
469,FSM,19,6
470,FSM,20,0
471,FSM,21,0
472,FSM,22,0
473,FSM,23,0
474,FSM,24,0
475,FSM,25,0
476,FSM,26,0
477,FSM,27,0
478,FSM,28,2
479,FSM,29,21
480,FSM,30,8
481,FSM,31,2731
482,FSM,32,4863
483,FSM,33,3182
484,FSM,34,11001
485,FSM,35,220
486,FSM,36,34
487,FSM,37,607
488,FSM,38,995
489,FSM,39,2032
490,FSM,40,346
491,FSM,41,404
492,GA,1,0
493,GA,2,0
494,GA,3,1242
495,GA,4,24519
496,GA,5,18834
497,GA,6,24796
498,GA,7,108942
499,GA,8,82264
500,GA,9,57436
501,GA,10,37001
502,GA,11,102876
503,GA,12,196833
504,GA,13,230862
505,GA,14,108450
506,GA,15,65496
507,GA,16,37683
508,GA,17,24079
509,GA,18,13257
510,GA,19,36662
511,GA,20,176789
512,GA,21,225815
513,GA,22,57511
514,GA,23,28133
515,GA,24,132541
516,GA,25,514004
517,GA,26,152838
518,GA,27,36694
519,GA,28,19141
520,GA,29,41318
521,GA,30,91552
522,GA,31,103347
523,GA,32,119695
524,GA,33,34654
525,GA,34,15371
526,GA,35,22884
527,GA,36,41674
528,GA,37,42657
529,GA,38,26491
530,GA,39,15096
531,GA,40,8019
532,GA,41,3473
533,GU,1,0
534,GU,2,0
535,GU,3,37
536,GU,4,104
537,GU,5,29
538,GU,6,56
539,GU,7,128
540,GU,8,766
541,GU,9,1368
542,GU,10,1978
543,GU,11,2239
544,GU,12,603
545,GU,13,260
546,GU,14,161
547,GU,15,78
548,GU,16,152
549,GU,17,195
550,GU,18,212
551,GU,19,163
552,GU,20,1338
553,GU,21,5174
554,GU,22,2999
555,GU,23,1106
556,GU,24,420
557,GU,25,10655
558,GU,26,13615
559,GU,27,3429
560,GU,28,848
561,GU,29,794
562,GU,30,2991
563,GU,31,3159
564,GU,32,2924
565,GU,33,583
566,GU,34,187
567,GU,35,579
568,GU,36,596
569,GU,37,779
570,GU,38,259
571,GU,39,184
572,GU,40,234
573,GU,41,260
574,HI,1,0
575,HI,2,0
576,HI,3,105
577,HI,4,478
578,HI,5,64
579,HI,6,188
580,HI,7,963
581,HI,8,5405
582,HI,9,5336
583,HI,10,2500
584,HI,11,2744
585,HI,12,3728
586,HI,13,4199
587,HI,14,1769
588,HI,15,2651
589,HI,16,2606
590,HI,17,2337
591,HI,18,1775
592,HI,19,3550
593,HI,20,17211
594,HI,21,20746
595,HI,22,4780
596,HI,23,2905
597,HI,24,20998
598,HI,25,104053
599,HI,26,24730
600,HI,27,4716
601,HI,28,7825
602,HI,29,26695
603,HI,30,34638
604,HI,31,16942
605,HI,32,13689
606,HI,33,4802
607,HI,34,4481
608,HI,35,5071
609,HI,36,4556
610,HI,37,4503
611,HI,38,2474
612,HI,39,2967
613,HI,40,3682
614,HI,41,1402
615,IA,1,0
616,IA,2,0
617,IA,3,146
618,IA,4,6696
619,IA,5,11526
620,IA,6,8234
621,IA,7,17024
622,IA,8,15182
623,IA,9,30441
624,IA,10,31386
625,IA,11,100651
626,IA,12,58778
627,IA,13,36050
628,IA,14,18551
629,IA,15,16739
630,IA,16,12893
631,IA,17,6730
632,IA,18,2705
633,IA,19,5099
634,IA,20,21251
635,IA,21,51410
636,IA,22,31917
637,IA,23,35450
638,IA,24,54173
639,IA,25,126827
640,IA,26,47789
641,IA,27,10767
642,IA,28,4638
643,IA,29,13083
644,IA,30,20060
645,IA,31,20392
646,IA,32,26059
647,IA,33,13284
648,IA,34,6994
649,IA,35,10670
650,IA,36,12816
651,IA,37,7694
652,IA,38,6238
653,IA,39,8593
654,IA,40,0
655,IA,41,0
656,ID,1,0
657,ID,2,0
658,ID,3,90
659,ID,4,1863
660,ID,5,746
661,ID,6,1703
662,ID,7,15271
663,ID,8,11098
664,ID,9,11277
665,ID,10,19739
666,ID,11,34717
667,ID,12,43361
668,ID,13,21347
669,ID,14,9080
670,ID,15,10246
671,ID,16,6729
672,ID,17,4469
673,ID,18,3260
674,ID,19,4520
675,ID,20,16545
676,ID,21,39356
677,ID,22,33506
678,ID,23,16207
679,ID,24,13328
680,ID,25,50207
681,ID,26,50503
682,ID,27,24745
683,ID,28,1907
684,ID,29,4517
685,ID,30,12642
686,ID,31,14705
687,ID,32,11716
688,ID,33,6084
689,ID,34,4344
690,ID,35,6404
691,ID,36,5369
692,ID,37,3401
693,ID,38,3429
694,ID,39,5029
695,ID,40,2010
696,ID,41,648
697,IL,1,1
698,IL,2,1
699,IL,3,1862
700,IL,4,48492
701,IL,5,63956
702,IL,6,24228
703,IL,7,37824
704,IL,8,50683
705,IL,9,68676
706,IL,10,98077
707,IL,11,291667
708,IL,12,269914
709,IL,13,156805
710,IL,14,67157
711,IL,15,65244
712,IL,16,83868
713,IL,17,49937
714,IL,18,13351
715,IL,19,23830
716,IL,20,83449
717,IL,21,125142
718,IL,22,66109
719,IL,23,94627
720,IL,24,334262
721,IL,25,748137
722,IL,26,155278
723,IL,27,44006
724,IL,28,61553
725,IL,29,146221
726,IL,30,151622
727,IL,31,124611
728,IL,32,136959
729,IL,33,70746
730,IL,34,46369
731,IL,35,72777
732,IL,36,85755
733,IL,37,56571
